รหัสเดิม,รหัส Active/main ที่แสดงในแอป,ชื่อวัสดุ,รหัสกลุ่มสต๊อก,รายการนำเข้าเดิม,รายการนำออกเดิม,ยอดสุทธิตามรหัสเดิม,จำนวน Lot ที่พบใน Inventory By Lot,แนวทาง v1.3.0
BB290,BB171,ฝาจุกขนาด 12 (เล็ก),BB171,1,2,19.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB291,BB172,ฝาจุกขนาด 13 (ใหญ่),BB172,1,0,21.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB294,BB174,ไม้จิ้มฟัน (ใช้คนเลือดบนสไลด์),BB174,1,2,10.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB296,BB175,ยางลบ,BB175,1,3,11.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB297,BB176,ลวดเย็บกระดาษ No.10 (เล็ก),BB176,1,3,21.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB298,BB178,ลวดเย็บกระดาษ No.35 (ใหญ่),BB178,1,0,12.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB299,BB179,"ลวดเย็บกระดาษ สำหรับงานหนัก 3/8""",BB179,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB300,BB180,ลวดเย็บเสียบกระดาษ (Paper Clips),BB180,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB302,BB181,สติกเกอร์พีวีซีใส A4,BB181,1,6,4.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB303,BB182,สติ๊กเกอร์สำหรับถุงเลือด,BB182,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB305,BB184,สติ๊กเกอร์สำหรับหลอดสิ่งส่งตรวจ,BB184,2,22,8.0,2,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB306,BB185,สบู่ล้างมือ (ติดตั้งกับเครื่องอัตโนมัติ),BB185,2,10,1.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB307,BB186,สไลด์กล้องจุลทรรศน์,BB186,1,0,100.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB310,BB189,หมึกเครื่องพิมพ์ Canon 052H,BB189,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB311,BB190,หลอดทดลองขนาด 12*75 mm,BB190,1,24,94.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB312,BB191,หลอดทดลองขนาด 13*100 mm,BB191,1,4,16.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB315,BB193,แอลกอฮอล์ 70% (ขวดสีฟ้า),BB193,3,10,1.0,3,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB316,BB194,แอลกอฮอล์ 70% (ติดตั้งกับเครื่องอัตโนมัติ),BB194,3,7,2.0,2,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB318,BB263,ถุงสำหรับ Pool Platelet จาก PYI เครื่อง Reveos,BB263,1,12,0.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
